iter	Logloss
0	0.6727210083
1	0.654505127
2	0.6376068115
3	0.6216448975
4	0.6069361572
5	0.5932421875
6	0.5807303467
7	0.5680452881
8	0.5569620361
9	0.5458686523
10	0.5375250244
11	0.5278503418
12	0.5190186768
13	0.511858429
14	0.5032996216
15	0.4962283325
16	0.4889174194
17	0.4807411499
18	0.4736622314
19	0.4664190063
20	0.4609094238
21	0.4551212463
22	0.4507023926
23	0.4471308594
24	0.443326355
25	0.4382876587
26	0.4349442749
27	0.4314520264
28	0.4275239868
29	0.4233579407
30	0.4208092651
31	0.4181329651
32	0.4151396484
33	0.4127327271
34	0.4093128357
35	0.4062958984
36	0.403731842
37	0.4005349121
38	0.398092041
39	0.3955921631
40	0.3935294189
41	0.3917778625
42	0.3898963318
43	0.3883837891
44	0.3869414063
45	0.3853156738
46	0.3840391846
47	0.3829184265
48	0.3812023926
49	0.3796473999
50	0.3786549072
51	0.3775943604
52	0.3765592957
53	0.375462677
54	0.3746477966
55	0.3735128174
56	0.3722809753
57	0.3714522095
58	0.3702861938
59	0.3694730835
60	0.3682683105
61	0.3676676636
62	0.3672620239
63	0.3663635254
64	0.3656394348
65	0.3646977539
66	0.3638118286
67	0.3630634155
68	0.3623768921
69	0.3619005737
70	0.361331665
71	0.3607675171
72	0.3603080139
73	0.3597723389
74	0.359031189
75	0.3585404358
76	0.3578729248
77	0.3571559143
78	0.3566803284
79	0.3563964844
80	0.3559237061
81	0.3555622864
82	0.3548656616
83	0.354348877
84	0.3540114136
85	0.3534817505
86	0.3527965698
87	0.3524579468
88	0.3521261902
89	0.3517624207
90	0.3515098572
91	0.3513104248
92	0.3511401672
93	0.3506838379
94	0.3502973633
95	0.3499629517
96	0.3495276489
97	0.349147522
98	0.348889679
99	0.3486731567
100	0.3483980103
101	0.3481486816
102	0.3478391724
103	0.3474144897
104	0.3471730957
105	0.3469268188
106	0.3467008362
107	0.3465480957
108	0.3462075806
109	0.3459490967
110	0.3456114807
111	0.3452236328
112	0.3448980103
113	0.3445520325
114	0.3442908936
115	0.3440290527
116	0.3437785645
117	0.34356427
118	0.3434509888
119	0.3431810303
120	0.3429506836
121	0.3426467896
122	0.3424002075
123	0.3421813354
124	0.3419261475
125	0.3416451416
126	0.3413688354
127	0.3410644836
128	0.340866272
129	0.3405803833
130	0.3404480591
131	0.3401517944
132	0.3399321289
133	0.3397582397
134	0.3396190796
135	0.339487793
136	0.3393047791
137	0.3392525635
138	0.339123291
139	0.3389701538
140	0.3387935791
141	0.338711731
142	0.3385273132
143	0.3382929687
144	0.3380818481
145	0.3378811646
146	0.3376121826
147	0.3374251099
148	0.3372902222
149	0.3370168457
150	0.3368613281
151	0.3366693726
152	0.336547699
153	0.3364320068
154	0.3362187805
155	0.336097168
156	0.3358820801
157	0.3357534485
158	0.335475769
159	0.3353111572
160	0.3351477051
161	0.3349747925
162	0.3347927856
163	0.3346375732
164	0.3344182129
165	0.33421521
166	0.3340471802
167	0.3338139343
168	0.3336542053
169	0.333524231
170	0.3333790588
171	0.33321875
172	0.3329591675
173	0.3328167419
174	0.3326944275
175	0.3325805054
176	0.3324282227
177	0.3322999878
178	0.3321611938
179	0.3319971313
180	0.3318404541
181	0.3317507019
182	0.3316480713
183	0.3315269775
184	0.3312942505
185	0.3310282593
186	0.3308740234
187	0.3307142944
188	0.3305870667
189	0.3304217224
190	0.3302050171
191	0.3299547729
192	0.3298156128
193	0.3296424255
194	0.3295387268
195	0.3293209229
196	0.3292350464
197	0.3290276489
198	0.3289014282
199	0.3287999878
200	0.3286785889
201	0.3284543457
202	0.3283500977
203	0.3282311096
204	0.3281297913
205	0.3279910278
206	0.3278043213
207	0.3276603699
208	0.3275428467
209	0.3274505615
210	0.3272747803
211	0.3271997681
212	0.3270319214
213	0.3268607178
214	0.3267955933
215	0.3266898804
216	0.3264903259
217	0.3263400879
218	0.3261984863
219	0.3260839844
220	0.3260702209
221	0.3259662476
222	0.3257929077
223	0.3256624756
224	0.3254644165
225	0.3252594604
226	0.3251170959
227	0.3249536743
228	0.3248823547
229	0.3247458191
230	0.3245996704
231	0.3244882813
232	0.324369812
233	0.3242541504
234	0.3241378174
235	0.324004303
236	0.3238884888
237	0.3237841797
238	0.3236459961
239	0.3234858093
240	0.3233770447
241	0.323250824
242	0.3230729675
243	0.3228955688
244	0.3227407227
245	0.3226076965
246	0.3224761658
247	0.3224124756
248	0.3222821045
249	0.3221921997
250	0.3220009155
251	0.3218270874
252	0.3216940613
253	0.3216212158
254	0.3214942322
255	0.3213326721
256	0.3212460632
257	0.32107901
258	0.3208561707
259	0.3207578125
260	0.3205673523
261	0.3203853455
262	0.320300415
263	0.3202194214
264	0.3200862732
265	0.3199499512
266	0.3197685547
267	0.3196223755
268	0.3195496216
269	0.3194075928
270	0.3192705078
271	0.3191913452
272	0.318996521
273	0.3188579102
274	0.3186766968
275	0.3185809021
276	0.3184499512
277	0.3183562927
278	0.3182653809
279	0.3182203369
280	0.3180952759
281	0.3179677124
282	0.3178671875
283	0.3177866516
284	0.3176524048
285	0.3175264893
286	0.3174330139
287	0.3172972107
288	0.3171943359
289	0.3170942993
290	0.3169447021
291	0.316878418
292	0.3167857971
293	0.3166850281
294	0.3165703125
295	0.316421936
296	0.3163114319
297	0.316172699
298	0.3160791016
299	0.3159396973
300	0.3158459473
301	0.3158102417
302	0.315720459
303	0.3156292114
304	0.3155139465
305	0.3153544312
306	0.315192688
307	0.3151321411
308	0.31495047
309	0.3147823792
310	0.3146955566
311	0.3145055847
312	0.3143677368
313	0.3142879944
314	0.3141882935
315	0.3140686951
316	0.3139280701
317	0.3138125
318	0.3137096558
319	0.3135872192
320	0.3133935242
321	0.3132817993
322	0.3131395874
323	0.3130206909
324	0.3129247437
325	0.3128484192
326	0.3126707153
327	0.3125477295
328	0.3124289551
329	0.3123456116
330	0.3122533875
331	0.3121233521
332	0.3120534058
333	0.3119750977
334	0.3118574829
335	0.3117454224
336	0.3116048889
337	0.3115350952
338	0.3113848572
339	0.3112947998
340	0.3112335815
341	0.3111532898
342	0.3110677185
343	0.3108446655
344	0.3107457886
345	0.3106779785
346	0.3105475464
347	0.3104344482
348	0.3103467407
349	0.310216217
350	0.3101508484
351	0.3099902344
352	0.3098900146
353	0.3097862549
354	0.3096530762
355	0.3095911865
356	0.309460022
357	0.3094127502
358	0.3092840576
359	0.3091528931
360	0.3090317993
361	0.3089033813
362	0.3087997437
363	0.3087145996
364	0.3085534668
365	0.3084683838
366	0.308323822
367	0.3082718201
368	0.3081716003
369	0.3080316772
370	0.3079506226
371	0.3078337097
372	0.3076876221
373	0.3076027222
374	0.3075013123
375	0.3074221802
376	0.3073100586
377	0.3072111206
378	0.3071143188
379	0.3069945679
380	0.306897644
381	0.3068070984
382	0.3066717529
383	0.3065708008
384	0.3064795532
385	0.3063566895
386	0.3062469788
387	0.3061783142
388	0.306072876
389	0.3059757996
390	0.3059069214
391	0.3057766724
392	0.3056759338
393	0.3055928955
394	0.3054732361
395	0.3053763428
396	0.3052243042
397	0.3050842896
398	0.304979126
399	0.3047773437
400	0.3046735229
401	0.3045362549
402	0.3044099121
403	0.3043253784
404	0.3041870728
405	0.3040636292
406	0.3039484863
407	0.3038555908
408	0.3037157593
409	0.3035735168
410	0.3034780273
411	0.3033778076
412	0.3032512817
413	0.303127533
414	0.3030324402
415	0.3029467163
416	0.3028539734
417	0.3027243042
418	0.3025811157
419	0.3025084534
420	0.3023609009
421	0.3022496948
422	0.3021939087
423	0.3020900269
424	0.3020042725
425	0.3018453979
426	0.3017213135
427	0.3015860291
428	0.3014862671
429	0.3014004211
430	0.3012304993
431	0.301086853
432	0.300928833
433	0.3007905884
434	0.3007035828
435	0.3006032715
436	0.3004813232
437	0.3003409424
438	0.3002357788
439	0.3001351318
440	0.3000758667
441	0.2999802856
442	0.2998434448
443	0.2997762451
444	0.2996896973
445	0.2995900879
446	0.2994951782
447	0.2993545532
448	0.2992397766
449	0.2991243896
450	0.2990292969
451	0.2989019165
452	0.2987868958
453	0.2987077637
454	0.2985281982
455	0.2984650879
456	0.2983369751
457	0.2982262268
458	0.2981510315
459	0.2980127869
460	0.2978890381
461	0.2977926636
462	0.2976710205
463	0.2975982666
464	0.2975068665
465	0.2973929443
466	0.297296051
467	0.2971777344
468	0.2970283508
469	0.2969103699
470	0.2967695618
471	0.2966463623
472	0.296534668
473	0.2963787537
