iter	Passed	Remaining
0	4	4666
1	7	3624
2	9	3283
3	12	3075
4	14	2938
5	17	2855
6	19	2760
7	22	2770
8	24	2705
9	27	2683
10	29	2669
11	32	2656
12	35	2686
13	38	2699
14	41	2716
15	44	2726
16	47	2736
17	50	2745
18	53	2743
19	56	2748
20	59	2757
21	62	2760
22	65	2764
23	68	2774
24	71	2781
25	74	2783
26	76	2773
27	80	2783
28	83	2802
29	86	2802
30	90	2817
31	93	2822
32	96	2820
33	99	2815
34	101	2809
35	104	2809
36	107	2808
37	111	2813
38	114	2820
39	117	2825
40	120	2825
41	123	2826
42	126	2826
43	130	2829
44	133	2827
45	136	2823
46	139	2818
47	141	2814
48	144	2813
49	147	2808
50	150	2805
51	153	2800
52	156	2794
53	159	2795
54	162	2791
55	165	2787
56	168	2786
57	171	2780
58	174	2778
59	177	2780
60	180	2778
61	183	2777
62	185	2762
63	188	2757
64	191	2755
65	194	2756
66	197	2757
67	201	2756
68	204	2755
69	207	2752
70	210	2750
71	212	2744
72	215	2737
73	218	2731
74	221	2728
75	224	2723
76	226	2715
77	229	2709
78	231	2703
79	234	2697
80	237	2690
81	239	2681
82	242	2674
83	244	2666
84	246	2658
85	249	2651
86	251	2644
87	254	2637
88	257	2632
89	259	2624
90	261	2615
91	264	2607
92	266	2602
93	269	2596
94	271	2588
95	274	2583
96	276	2577
97	279	2573
98	282	2566
99	284	2560
100	286	2552
101	289	2546
102	292	2544
103	295	2545
104	298	2542
105	301	2539
106	303	2534
107	306	2529
108	308	2525
109	311	2518
110	314	2515
111	316	2511
112	319	2508
113	322	2502
114	324	2497
115	327	2494
116	330	2491
117	332	2488
118	335	2483
119	338	2480
120	340	2473
121	343	2470
122	345	2466
123	348	2462
124	351	2459
125	354	2458
126	357	2455
127	360	2453
128	362	2449
129	365	2446
130	367	2440
131	370	2435
132	373	2432
133	375	2428
134	378	2424
135	381	2421
136	383	2418
137	386	2411
138	388	2409
139	391	2407
140	394	2405
141	397	2403
142	400	2402
143	403	2400
144	407	2401
145	410	2398
146	413	2396
147	416	2396
148	419	2395
149	422	2392
150	425	2391
151	428	2388
152	430	2385
153	433	2383
154	436	2380
155	439	2379
156	442	2376
157	445	2373
158	448	2371
159	451	2368
160	454	2366
161	456	2363
162	459	2360
163	462	2358
164	465	2355
165	468	2351
166	470	2348
167	473	2346
168	476	2344
169	479	2341
170	482	2340
171	485	2339
172	489	2337
173	492	2336
174	495	2334
175	498	2332
176	501	2331
177	504	2328
178	507	2326
179	510	2324
180	513	2322
181	516	2319
182	519	2318
183	522	2316
184	525	2315
185	528	2313
186	531	2312
187	534	2309
188	537	2308
189	541	2307
190	544	2306
191	547	2305
192	550	2302
193	553	2299
194	556	2297
195	559	2293
196	561	2289
197	564	2285
198	567	2282
199	569	2279
200	572	2276
201	575	2274
202	578	2271
203	581	2267
204	583	2263
205	586	2260
206	588	2256
207	591	2251
208	593	2247
209	596	2243
210	599	2240
211	601	2236
212	604	2233
213	607	2229
214	609	2225
215	612	2221
216	614	2218
217	617	2216
218	621	2216
219	624	2215
220	627	2210
221	630	2209
222	633	2208
223	636	2206
224	640	2205
225	643	2203
226	646	2201
227	650	2201
228	653	2200
229	656	2197
230	659	2194
231	662	2192
232	665	2189
233	668	2186
234	670	2183
235	673	2181
236	676	2179
237	680	2177
238	682	2174
239	686	2172
240	689	2170
241	692	2168
242	695	2165
243	698	2163
244	701	2160
245	704	2158
246	707	2156
247	710	2153
248	712	2149
249	715	2145
250	717	2141
251	720	2139
252	723	2135
253	726	2132
254	729	2130
255	732	2127
256	734	2124
257	737	2121
258	740	2118
259	743	2115
260	745	2112
261	748	2108
262	751	2105
263	754	2103
264	756	2099
265	759	2096
266	762	2093
267	765	2089
268	767	2086
269	770	2084
270	773	2081
271	775	2076
272	778	2073
273	781	2070
274	784	2067
275	787	2064
276	789	2061
277	792	2057
278	794	2054
279	797	2050
280	800	2047
281	803	2044
282	806	2042
283	808	2038
284	811	2035
285	813	2031
286	816	2028
287	819	2025
288	821	2021
289	824	2017
290	826	2014
291	829	2010
292	831	2006
293	834	2003
294	837	2000
295	839	1996
296	842	1993
297	844	1989
298	847	1986
299	849	1982
300	852	1979
301	854	1975
302	857	1972
303	860	1969
304	862	1965
305	865	1962
306	867	1958
307	870	1955
308	872	1951
309	875	1948
310	878	1945
311	880	1942
312	883	1939
313	886	1936
314	888	1933
315	891	1930
316	894	1927
317	897	1924
318	900	1922
319	903	1919
320	906	1917
321	909	1914
322	912	1911
323	914	1908
324	917	1905
325	920	1902
326	923	1899
327	925	1896
328	928	1893
329	931	1891
330	934	1888
331	937	1885
332	939	1882
333	942	1879
334	945	1876
335	947	1873
336	951	1870
337	954	1868
338	956	1865
339	959	1862
340	962	1859
341	965	1857
342	967	1854
343	970	1850
344	973	1847
345	976	1844
346	978	1842
347	981	1839
348	984	1836
349	987	1834
350	990	1831
351	993	1828
352	996	1825
353	998	1823
354	1001	1820
355	1004	1817
356	1007	1814
357	1009	1811
358	1012	1808
359	1015	1805
360	1018	1802
361	1021	1799
362	1023	1796
363	1026	1793
364	1029	1790
365	1032	1787
366	1034	1785
367	1037	1781
368	1040	1778
369	1043	1776
370	1045	1772
371	1048	1769
372	1050	1766
373	1052	1762
374	1055	1759
375	1057	1755
376	1060	1753
377	1063	1749
378	1066	1747
379	1068	1743
380	1071	1741
381	1074	1738
382	1077	1735
383	1079	1731
384	1082	1728
385	1084	1724
386	1086	1721
387	1089	1718
388	1092	1715
389	1094	1712
390	1097	1708
391	1099	1705
392	1102	1703
393	1105	1699
394	1108	1697
395	1110	1694
396	1113	1691
397	1115	1687
398	1118	1684
399	1120	1681
400	1123	1678
401	1125	1674
402	1128	1671
403	1130	1668
404	1133	1665
405	1136	1662
406	1138	1659
407	1141	1655
408	1143	1652
409	1146	1649
410	1148	1646
411	1151	1643
412	1154	1640
413	1156	1637
414	1159	1633
415	1161	1630
416	1164	1627
417	1167	1625
418	1170	1622
419	1173	1620
420	1175	1617
421	1178	1614
422	1181	1611
423	1184	1608
424	1186	1605
425	1189	1602
426	1192	1599
427	1194	1597
428	1197	1594
429	1200	1591
430	1203	1588
431	1205	1585
432	1208	1582
433	1212	1581
434	1215	1578
435	1218	1575
436	1220	1572
437	1223	1570
438	1226	1567
439	1229	1564
440	1232	1561
441	1234	1558
442	1237	1555
443	1240	1553
444	1243	1550
445	1246	1547
446	1248	1544
447	1251	1541
448	1253	1538
449	1256	1535
450	1259	1533
451	1262	1530
452	1265	1528
453	1268	1525
454	1271	1523
455	1273	1519
456	1276	1517
457	1279	1514
458	1281	1511
459	1284	1508
460	1287	1505
461	1290	1502
462	1292	1499
463	1295	1496
464	1298	1493
465	1300	1490
466	1303	1487
467	1306	1484
468	1308	1481
469	1311	1478
470	1313	1475
471	1316	1472
472	1319	1469
473	1322	1467
474	1324	1464
475	1327	1461
476	1329	1458
477	1332	1455
478	1335	1452
479	1338	1450
480	1341	1447
481	1344	1445
482	1347	1442
483	1350	1439
484	1353	1436
485	1355	1433
486	1358	1431
487	1361	1428
488	1364	1425
489	1366	1422
490	1369	1419
491	1372	1417
492	1374	1413
493	1377	1410
494	1379	1407
495	1382	1404
496	1385	1402
497	1387	1399
498	1390	1396
499	1393	1393
500	1395	1390
501	1398	1387
502	1401	1384
503	1403	1381
504	1406	1378
505	1409	1375
506	1412	1373
507	1414	1370
508	1417	1367
509	1419	1364
510	1422	1361
511	1425	1358
512	1428	1355
513	1431	1353
514	1433	1350
515	1436	1347
516	1439	1344
517	1441	1341
518	1444	1338
519	1447	1336
520	1450	1333
521	1453	1330
522	1455	1327
523	1458	1324
524	1460	1321
525	1463	1318
526	1466	1316
527	1469	1313
528	1471	1310
529	1474	1307
530	1477	1304
531	1479	1301
532	1482	1299
533	1485	1296
534	1488	1293
535	1491	1291
536	1494	1288
537	1496	1285
538	1499	1282
539	1502	1279
540	1505	1277
541	1507	1274
542	1510	1271
543	1513	1268
544	1516	1265
545	1519	1263
546	1521	1260
547	1524	1257
548	1527	1255
549	1530	1252
550	1533	1249
551	1535	1246
552	1538	1243
553	1541	1240
554	1543	1237
555	1546	1235
556	1549	1232
557	1551	1229
558	1554	1226
559	1556	1223
560	1559	1220
561	1561	1217
562	1564	1214
563	1567	1211
564	1570	1208
565	1573	1206
566	1575	1203
567	1578	1200
568	1581	1197
569	1583	1194
570	1586	1191
571	1589	1189
572	1592	1186
573	1595	1183
574	1598	1181
575	1601	1178
576	1604	1176
577	1607	1173
578	1610	1170
579	1613	1168
580	1616	1165
581	1619	1162
582	1621	1159
583	1625	1157
584	1628	1155
585	1630	1152
586	1633	1149
587	1636	1146
588	1639	1144
589	1642	1141
590	1646	1139
591	1648	1136
592	1651	1133
593	1654	1130
594	1657	1128
595	1660	1125
596	1662	1122
597	1665	1119
598	1668	1116
599	1671	1114
600	1674	1111
601	1677	1108
602	1680	1106
603	1683	1103
604	1686	1100
605	1688	1098
606	1691	1095
607	1694	1092
608	1697	1089
609	1701	1087
610	1703	1084
611	1707	1082
612	1710	1079
613	1713	1077
614	1716	1074
615	1719	1071
616	1721	1068
617	1724	1065
618	1727	1063
619	1730	1060
620	1733	1057
621	1736	1055
622	1739	1052
623	1742	1049
624	1745	1047
625	1748	1044
626	1751	1041
627	1754	1039
628	1756	1036
629	1759	1033
630	1762	1030
631	1765	1027
632	1767	1025
633	1770	1022
634	1773	1019
635	1776	1016
636	1778	1013
637	1781	1011
638	1784	1008
639	1787	1005
640	1790	1002
641	1793	999
642	1795	996
643	1798	994
644	1801	991
645	1804	988
646	1807	986
647	1810	983
648	1812	980
649	1815	977
650	1818	974
651	1821	972
652	1824	969
653	1827	966
654	1829	963
655	1832	960
656	1835	958
657	1838	955
658	1841	952
659	1844	949
660	1846	947
661	1849	944
662	1853	941
663	1856	939
664	1859	936
665	1862	934
666	1865	931
667	1868	928
668	1871	925
669	1874	923
670	1877	920
671	1880	917
672	1882	914
673	1885	911
674	1888	909
675	1890	906
676	1893	903
677	1896	900
678	1899	897
679	1902	895
680	1904	892
681	1907	889
682	1910	886
683	1913	883
684	1915	881
685	1918	878
686	1921	875
687	1924	872
688	1927	869
689	1929	867
690	1932	864
691	1934	861
692	1937	858
693	1941	856
694	1945	853
695	1948	851
696	1952	848
697	1955	845
698	1958	843
699	1960	840
700	1963	837
701	1966	834
702	1969	832
703	1973	829
704	1976	826
705	1979	824
706	1982	821
707	1985	818
708	1988	816
709	1991	813
710	1994	810
711	1997	807
712	1999	804
713	2002	802
714	2004	799
715	2007	796
716	2010	793
717	2013	790
718	2016	788
719	2019	785
720	2021	782
721	2024	779
722	2027	776
723	2030	773
724	2032	771
725	2035	768
726	2037	765
727	2040	762
728	2043	759
729	2046	756
730	2049	754
731	2052	751
732	2054	748
733	2056	745
734	2059	742
735	2061	739
736	2064	736
737	2066	733
738	2069	730
739	2071	727
740	2074	725
741	2077	722
742	2080	719
743	2082	716
744	2085	713
745	2088	710
746	2090	708
747	2093	705
748	2096	702
749	2099	699
750	2102	697
751	2105	694
752	2108	691
753	2110	688
754	2113	685
755	2116	683
756	2118	680
757	2121	677
758	2124	674
759	2127	671
760	2130	669
761	2132	666
762	2136	663
763	2139	660
764	2141	657
765	2144	655
766	2147	652
767	2149	649
768	2152	646
769	2155	643
770	2158	640
771	2160	638
772	2163	635
773	2165	632
774	2168	629
775	2170	626
776	2173	623
777	2175	620
778	2178	617
779	2180	615
780	2183	612
781	2186	609
782	2188	606
783	2191	603
784	2193	600
785	2196	597
786	2198	595
787	2201	592
788	2203	589
789	2206	586
790	2209	583
791	2211	580
792	2214	577
793	2216	575
794	2219	572
795	2221	569
796	2224	566
797	2226	563
798	2229	560
799	2232	558
800	2234	555
801	2237	552
802	2239	549
803	2242	546
804	2245	543
805	2247	541
806	2250	538
807	2252	535
808	2255	532
809	2257	529
810	2260	526
811	2262	523
812	2265	520
813	2267	518
814	2269	515
815	2271	512
816	2274	509
817	2276	506
818	2279	503
819	2281	500
820	2283	497
821	2286	495
822	2288	492
823	2291	489
824	2294	486
825	2296	483
826	2298	480
827	2301	478
828	2303	475
829	2306	472
830	2308	469
831	2311	466
832	2313	463
833	2315	460
834	2318	458
835	2320	455
836	2323	452
837	2326	449
838	2328	446
839	2331	444
840	2333	441
841	2336	438
842	2338	435
843	2341	432
844	2344	430
845	2346	427
846	2349	424
847	2351	421
848	2354	418
849	2357	415
850	2360	413
851	2363	410
852	2365	407
853	2369	405
854	2371	402
855	2374	399
856	2377	396
857	2380	393
858	2383	391
859	2386	388
860	2388	385
861	2391	382
862	2394	380
863	2396	377
864	2399	374
865	2401	371
866	2404	368
867	2407	366
868	2409	363
869	2412	360
870	2415	357
871	2418	354
872	2420	352
873	2423	349
874	2425	346
875	2428	343
876	2431	340
877	2433	338
878	2436	335
879	2439	332
880	2441	329
881	2444	327
882	2447	324
883	2449	321
884	2452	318
885	2454	315
886	2457	313
887	2459	310
888	2462	307
889	2465	304
890	2468	301
891	2470	299
892	2473	296
893	2476	293
894	2479	290
895	2482	288
896	2485	285
897	2488	282
898	2491	279
899	2494	277
900	2497	274
901	2499	271
902	2503	268
903	2505	266
904	2508	263
905	2511	260
906	2514	257
907	2517	255
908	2520	252
909	2523	249
910	2526	246
911	2529	244
912	2532	241
913	2535	238
914	2539	235
915	2542	233
916	2545	230
917	2548	227
918	2552	224
919	2555	222
920	2558	219
921	2561	216
922	2564	213
923	2568	211
924	2571	208
925	2574	205
926	2577	202
927	2580	200
928	2583	197
929	2586	194
930	2589	191
931	2591	189
932	2594	186
933	2597	183
934	2600	180
935	2604	178
936	2607	175
937	2610	172
938	2613	169
939	2616	167
940	2619	164
941	2622	161
942	2626	158
943	2629	155
944	2632	153
945	2635	150
946	2638	147
947	2641	144
948	2644	142
949	2647	139
950	2651	136
951	2654	133
952	2657	131
953	2661	128
954	2664	125
955	2667	122
956	2670	120
957	2674	117
958	2677	114
959	2680	111
960	2684	108
961	2687	106
962	2690	103
963	2693	100
964	2697	97
965	2700	95
966	2703	92
967	2706	89
968	2709	86
969	2712	83
970	2715	81
971	2718	78
972	2722	75
973	2725	72
974	2728	69
975	2731	67
976	2734	64
977	2737	61
978	2740	58
979	2744	56
980	2747	53
981	2750	50
982	2753	47
983	2756	44
984	2759	42
985	2762	39
986	2765	36
987	2768	33
988	2771	30
989	2775	28
990	2778	25
991	2781	22
992	2784	19
993	2787	16
994	2790	14
995	2794	11
996	2797	8
997	2800	5
998	2803	2
999	2806	0
