iter	Logloss
0	0.6720246582
1	0.6534730225
2	0.6345611572
3	0.6173621826
4	0.6020307007
5	0.587079834
6	0.5730721436
7	0.5599916992
8	0.547661499
9	0.5362045898
10	0.5271939697
11	0.5165599365
12	0.5069729614
13	0.4986984558
14	0.4900255127
15	0.4824534912
16	0.474769989
17	0.4683918457
18	0.4612816162
19	0.4549698486
20	0.4490421753
21	0.4443504333
22	0.4391113892
23	0.4347439575
24	0.430686554
25	0.4259182129
26	0.4223597412
27	0.4190496826
28	0.4151959229
29	0.4119411011
30	0.408013855
31	0.404730896
32	0.4020101318
33	0.3989746399
34	0.3965793152
35	0.3947098389
36	0.3916087646
37	0.3891331787
38	0.3870515747
39	0.3844302063
40	0.3826513062
41	0.3803884277
42	0.3787532043
43	0.377108429
44	0.3748388672
45	0.3729625549
46	0.3709718628
47	0.3695873413
48	0.3677629395
49	0.3660083008
50	0.3649275513
51	0.3638098145
52	0.3628321228
53	0.3616901245
54	0.3608983765
55	0.3599980469
56	0.35900354
57	0.3577038269
58	0.3562938843
59	0.3560193787
60	0.3548109436
61	0.3537456055
62	0.3528477173
63	0.3520043945
64	0.3510276489
65	0.3503529053
66	0.3496444092
67	0.3486764832
68	0.3479474182
69	0.347300293
70	0.3463469849
71	0.345650177
72	0.3449671326
73	0.3445545349
74	0.3440042114
75	0.34343927
76	0.3428866577
77	0.342276123
78	0.3416595764
79	0.3412432556
80	0.3406048584
81	0.3401679993
82	0.3397077637
83	0.3392861328
84	0.3386939087
85	0.3380677795
86	0.3376937866
87	0.3372267456
88	0.3369290161
89	0.3366021118
90	0.3360458374
91	0.3354791565
92	0.3351304932
93	0.3347028198
94	0.3341969604
95	0.3338731384
96	0.3332620544
97	0.3327634888
98	0.3324119873
99	0.3319627686
100	0.3317293091
101	0.3313628845
102	0.330887207
103	0.3305895386
104	0.3303095703
105	0.3299335327
106	0.3295447693
107	0.3292893677
108	0.3291082764
109	0.3287677917
110	0.328606842
111	0.3282102661
112	0.3278861084
113	0.3276963501
114	0.3274779053
115	0.3273203735
116	0.3270399475
117	0.326729248
118	0.3264733887
119	0.3262200317
120	0.3260073242
121	0.3257012939
122	0.3254827881
123	0.3252321167
124	0.3251546631
125	0.3249950867
126	0.3246723633
127	0.3244601746
128	0.324244751
129	0.3240314026
130	0.3238029785
131	0.3235256958
132	0.3233396606
133	0.3232021179
134	0.3229263
135	0.3227290039
136	0.3226113281
137	0.3222722778
138	0.3221420898
139	0.322041626
140	0.3217775269
141	0.3215357361
142	0.3213282776
143	0.321157959
144	0.3209033813
145	0.3206855469
146	0.3206044312
147	0.3203638916
148	0.3202729187
149	0.3200467224
150	0.3199606628
151	0.3198210449
152	0.3196152954
153	0.3193825989
154	0.3191773071
155	0.3190361328
156	0.3189742737
157	0.3187377319
158	0.3185802612
159	0.3183988342
160	0.3182901306
161	0.3181285706
162	0.3179613953
163	0.3178902893
164	0.3177514648
165	0.3176257324
166	0.3173625183
167	0.3171710205
168	0.3169178772
169	0.3167655945
170	0.3164924927
171	0.3162800293
172	0.3161638794
173	0.3160733032
174	0.3159562988
175	0.3157269287
176	0.3155115967
177	0.3154306946
178	0.315260437
179	0.3150067749
180	0.3149004517
181	0.3147561646
182	0.3144514465
183	0.3143190918
184	0.3142398987
185	0.3140984192
186	0.3139615479
187	0.3137977905
188	0.3136334229
189	0.3135196838
190	0.3134014893
191	0.3132608337
192	0.3131348877
193	0.3129517822
194	0.3127565613
195	0.3125064697
196	0.3123352051
197	0.3121724854
198	0.3119609375
199	0.3118825684
200	0.3117086487
201	0.3116012268
202	0.3114606018
203	0.3113653564
204	0.3112543945
205	0.31096698
206	0.3108575745
207	0.3107587891
208	0.3106381226
209	0.3104832764
210	0.3103094482
211	0.3101893616
212	0.3100439453
213	0.309816925
214	0.3097008667
215	0.3094910278
216	0.3092507935
217	0.3090274048
218	0.3088534851
219	0.3087157593
220	0.3085464783
221	0.3084415894
222	0.3082428589
223	0.3081463623
224	0.3080033569
225	0.307865387
226	0.3077297058
227	0.307565155
228	0.3075281067
229	0.3074273376
230	0.3073386841
231	0.3072029114
232	0.3071437378
233	0.3070725098
234	0.3069740906
235	0.3069054565
236	0.3067930908
237	0.3066650391
238	0.3064438477
239	0.3062830811
240	0.3062006226
241	0.3060439453
242	0.3058405457
243	0.3057486267
244	0.3056786804
245	0.3054992676
246	0.3054384155
247	0.3053338623
248	0.3052099609
249	0.304941925
250	0.3048251953
251	0.3048113708
252	0.3046030884
253	0.3044981079
254	0.3043243408
255	0.3041996765
256	0.3040396118
257	0.3038461304
258	0.3037779236
259	0.3035487366
260	0.3034036865
261	0.3032816162
262	0.3032093506
263	0.3030821533
264	0.3029628601
265	0.3028760986
266	0.302685791
267	0.3026577759
268	0.3024951477
269	0.3024016724
270	0.302336731
271	0.3023277588
272	0.3021833496
273	0.3021299438
274	0.302010376
275	0.3018713989
276	0.301748291
277	0.3016539001
278	0.3015607605
279	0.3014083862
280	0.3012526245
281	0.3011565552
282	0.3010255127
283	0.300904541
284	0.300748291
285	0.300624939
286	0.3004717712
287	0.3004369202
288	0.3002991333
289	0.3001434326
290	0.2999753723
291	0.2998937378
292	0.2997419739
293	0.2996068726
294	0.2993941956
295	0.2992772522
296	0.2992026367
297	0.2990464783
298	0.2988966675
299	0.2987364807
300	0.2986335449
301	0.2984998779
302	0.2983547363
303	0.2981376953
304	0.2980241699
305	0.2979370422
306	0.2978140869
307	0.2977163391
308	0.2975803223
309	0.2974692078
310	0.2973157959
311	0.2971423645
312	0.2970733643
313	0.2969856873
314	0.2969431458
315	0.2968781433
316	0.2967580261
317	0.296664093
318	0.2966474915
319	0.2964780884
320	0.2963696594
321	0.2962540894
322	0.2961534424
323	0.2960341187
324	0.2959853516
325	0.2958338013
326	0.2957373657
327	0.2955471802
328	0.2954681396
329	0.2953566589
330	0.2952546997
331	0.2951385193
332	0.2950770264
333	0.2949866028
334	0.2948378906
335	0.294684906
336	0.294561676
337	0.2944099121
338	0.2943369446
339	0.2942552185
340	0.2941411438
341	0.2939690247
342	0.2938782349
343	0.2937803955
344	0.2936490479
345	0.2935618286
346	0.2934121094
347	0.293357605
348	0.2931784973
349	0.2930719299
350	0.2929619446
351	0.2928366699
352	0.2926161499
353	0.2924568176
354	0.2922875061
355	0.2921607971
356	0.2920343323
357	0.2919423828
358	0.2918650513
359	0.2917072754
360	0.2916152039
361	0.2915390015
362	0.2914306335
363	0.291291626
364	0.2911743774
365	0.2910628967
366	0.2909946289
367	0.2908868408
368	0.2907865601
369	0.2907276611
370	0.2906143799
371	0.2904842834
372	0.2904029541
373	0.2903005981
374	0.2901901855
375	0.290072937
376	0.2899868774
377	0.2899151001
378	0.2898399048
379	0.2898358765
380	0.2897102356
381	0.2895747986
382	0.2894605408
383	0.2893636475
384	0.2892461548
385	0.2890816956
386	0.2889647827
387	0.2888529663
388	0.2887427979
389	0.2886237793
390	0.2885385742
391	0.288405304
392	0.2882406006
393	0.2880555115
394	0.2879436035
395	0.2878362427
396	0.2877593079
397	0.2876437378
398	0.2875545349
399	0.2874715576
400	0.2873671265
401	0.2872044678
402	0.2870548706
403	0.2869967651
404	0.2868519287
405	0.2867544861
406	0.2866098938
407	0.2864989624
408	0.286375824
409	0.2862296753
410	0.2861070251
411	0.2859582825
412	0.2858626099
413	0.2857315674
414	0.2855839844
415	0.2855109863
416	0.2854029846
417	0.2853314819
418	0.285228363
419	0.2851273499
420	0.2850335693
421	0.2848838806
422	0.2847788696
423	0.2846437073
424	0.2845549316
425	0.2844155884
426	0.2843244629
427	0.2842272339
428	0.2841416626
429	0.2840006104
430	0.2838686523
431	0.2837751465
432	0.2836659546
433	0.2835770874
434	0.2834816284
435	0.2833615723
436	0.2832316895
437	0.2831047363
438	0.2829903564
439	0.2829281616
440	0.2827449951
441	0.2826346436
442	0.2825694885
443	0.2824743652
444	0.2823519592
445	0.2822735291
446	0.282168457
447	0.2820952759
448	0.2820161133
449	0.2819174194
450	0.2817922974
451	0.2817042847
452	0.2815973511
453	0.2815402527
454	0.2814567566
455	0.2813556213
456	0.2812636414
457	0.2811460266
458	0.2810342407
459	0.28093927
460	0.2808470459
461	0.2807423706
462	0.2806606445
463	0.2805896606
464	0.2805103149
465	0.2804154358
466	0.2803703918
467	0.2802605591
468	0.2801832581
469	0.2800769653
470	0.2799776917
471	0.2798402405
472	0.2797224731
473	0.2796210327
474	0.2795290527
475	0.2793842163
476	0.2792921753
477	0.2791544189
478	0.279032959
479	0.2789212646
480	0.2788216553
481	0.2786976318
482	0.2785632935
483	0.2784703979
484	0.2783631897
485	0.2782719727
486	0.2781650085
487	0.2780413818
488	0.2779289856
489	0.277820282
490	0.2777116699
491	0.2775733032
492	0.2774734802
493	0.2773885498
494	0.2772887878
495	0.2771775513
496	0.2770735474
497	0.276946167
498	0.2768126526
499	0.2767134399
500	0.2766176758
501	0.2765350342
502	0.276444519
503	0.276285614
504	0.2762015686
505	0.2761213074
506	0.2760223389
507	0.275935791
508	0.275817627
509	0.2757322388
510	0.2756243286
511	0.2755472107
512	0.2754503784
513	0.2753053589
514	0.2752229614
515	0.2751473999
516	0.2749962769
517	0.2748169861
518	0.2747073059
519	0.2746339722
520	0.2745363159
521	0.274451355
522	0.2743563843
523	0.2742311401
524	0.2741151428
525	0.2740272217
526	0.2739127197
527	0.2737578125
528	0.2736535339
529	0.2735591431
530	0.2734916687
531	0.2733904419
532	0.2733145142
533	0.2732201843
534	0.2731127625
535	0.2730358887
536	0.2728984985
537	0.2727980652
538	0.2726243591
539	0.2725437622
540	0.272472168
541	0.2723912964
542	0.2723717651
543	0.2723100586
544	0.2721991272
545	0.2721212158
546	0.2720236816
547	0.271894165
548	0.2718215942
549	0.2717348022
550	0.2716442261
551	0.2715454102
552	0.2714422607
553	0.2713833618
554	0.2712748413
555	0.2711888428
556	0.2711029663
557	0.2709562073
558	0.2708704834
559	0.2707786865
560	0.2707109375
561	0.2706342773
562	0.2705518799
563	0.2704388428
564	0.270345459
565	0.2702269287
566	0.270164917
567	0.2700395508
568	0.2699457397
569	0.2698632812
570	0.2697719727
571	0.2697021484
572	0.2696304016
573	0.2695154724
574	0.2693917542
575	0.2693158875
576	0.2692625122
577	0.2691680603
578	0.2690912476
579	0.2689678345
580	0.2688748474
581	0.2688175354
582	0.2687087708
583	0.2685917053
584	0.2685047913
585	0.2684114685
586	0.2683045654
587	0.2682051697
588	0.2681194458
589	0.2680279846
590	0.2679568481
591	0.2678739319
592	0.2677562866
593	0.2676629028
594	0.2675696411
595	0.267493103
596	0.2674099731
597	0.2673064575
598	0.2672166443
599	0.267126709
600	0.267033783
601	0.2669175415
602	0.2668302612
603	0.2667740784
604	0.2666970215
605	0.2665688782
606	0.2665036011
607	0.2663879395
608	0.2662950134
609	0.2662333984
610	0.2661428223
611	0.2661202698
612	0.2660584106
613	0.2659784851
614	0.2659229736
615	0.2657710571
616	0.2656789551
617	0.2656016235
618	0.2655195618
619	0.2654329834
620	0.2653171997
621	0.2652229004
622	0.2652115784
623	0.2650689392
624	0.2649685059
625	0.2648947754
626	0.264815918
627	0.2647530518
628	0.2646395264
629	0.2645559998
630	0.2644794312
631	0.2644709473
632	0.2643907776
633	0.2643309326
634	0.2642568359
635	0.2641941528
636	0.26409375
637	0.264019043
638	0.2639104004
639	0.2638208618
640	0.2637353516
641	0.263644104
642	0.2635032349
643	0.263394104
644	0.2632571106
645	0.2631800537
646	0.2631021118
647	0.2630197144
648	0.2629138794
649	0.2628358765
650	0.2627191772
651	0.2626335449
652	0.2625762329
653	0.2624954834
654	0.2623735352
655	0.2623035278
656	0.2622481689
657	0.2621808472
658	0.2621139526
659	0.2620419922
660	0.2619569092
661	0.2618853149
662	0.2617817993
663	0.2616882629
664	0.261590332
665	0.2615108032
666	0.2613858643
667	0.2613309326
668	0.2612679138
669	0.2611626587
670	0.2610740356
671	0.2610239563
672	0.2609443665
673	0.2608604736
674	0.2607495728
675	0.2606599731
676	0.2605573425
677	0.2604349976
678	0.2603514404
679	0.2602852783
680	0.2602084961
681	0.2601287537
682	0.2600437622
683	0.2599745483
684	0.2598677368
685	0.2597613525
686	0.259651123
687	0.2595278625
688	0.2594492187
689	0.2593056335
690	0.2592236328
691	0.2591344604
692	0.2590914307
693	0.2589732666
694	0.2588470764
695	0.2587406616
696	0.2586421204
697	0.2585791016
698	0.2585281372
699	0.2583939819
700	0.2583074036
701	0.2581919556
702	0.2580934448
703	0.2580042725
704	0.2579255981
705	0.2578862305
706	0.2577858276
707	0.257740448
708	0.257622345
709	0.257489563
710	0.2574005127
711	0.2572533264
